,acc,noise
0,0.860475,0.0
1,0.84765,0.0
2,0.8611875,0.0
3,0.850625,0.0
4,0.8686625,0.0
5,0.7935125,0.1
6,0.7894125,0.1
7,0.7857375,0.1
8,0.7760875,0.1
9,0.792875,0.1
10,0.7632875,0.2
11,0.7663,0.2
12,0.7689625,0.2
13,0.7578,0.2
14,0.770475,0.2
15,0.7229625,0.3
16,0.7375375,0.3
17,0.749225,0.3
18,0.7253625,0.3
19,0.7358375,0.3
20,0.6300625,0.4
21,0.6734625,0.4
22,0.6794,0.4
23,0.6251125,0.4
24,0.6354625,0.4
25,0.4793625,0.5
26,0.546475,0.5
27,0.5212375,0.5
28,0.4534625,0.5
29,0.471125,0.5
30,0.3304,0.6
31,0.39465,0.6
32,0.334,0.6
33,0.300075,0.6
34,0.3082875,0.6
35,0.2343125,0.7
36,0.2828,0.7
37,0.2199625,0.7
38,0.21745,0.7
39,0.213125,0.7
40,0.1863,0.8
41,0.219025,0.8
42,0.1749125,0.8
43,0.1772875,0.8
44,0.1732125,0.8
45,0.1628625,0.9
46,0.185725,0.9
47,0.1558625,0.9
48,0.155575,0.9
49,0.1548125,0.9
50,0.150525,1.0
51,0.165,1.0
52,0.1449375,1.0
53,0.144725,1.0
54,0.1444125,1.0
